"Loja";"Name Searched";"Name Found";"Price";"Price Float";"URL"
"Nintendo eShop";"Animal Crossing New Leaf";"Animal Crossing: New Leaf";"$29.99*";"R$ 114,66";"http://www.nintendo.com/games/detail/7s_LzOZI18nIHym0yObW_vYCzfwsRssn"
"Americanas";"Animal Crossing New Leaf";"Game Animal Crossing: New Leaf - 3DS";"R$ 239,90";"R$ 239,90";"http://www.americanas.com.br/produto/113720400/game-animal-crossing-new-leaf-3ds"
"Americanas";"Animal Crossing New Leaf";"3ds - Animal Crossing: New Leaf";"R$ 179,90";"R$ 179,90";"http://www.americanas.com.br/produto/9557023/3ds-animal-crossing-new-leaf"
"Big Boy Games";"Animal Crossing New Leaf";"3DS - Animal Crossing: New Leaf";"R$ 179,90";"R$ 179,90";"http://www.bigboygames.com.br/3ds-animal-crossing-new-leaf-p5184/"
"Casas Bahia";"Animal Crossing New Leaf";"3DS - Animal Crossing: New Leaf";"179,90";"R$ 179,90";"http://buscas.casasbahia.com.br/search?p=R&srid=S1-3IADP&lbc=casasbahia&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.casasbahia.com.br%2f6524777%3f&rk=1&uid=270365844&sid=2&ts=custom&rsc=-yJrVGBl7rvBHQBr&method=and&isort=score&view=grid"
"Casas Bahia";"Animal Crossing New Leaf";"Jogo Animal Crossing: New Leaf - 3DS";"239,90";"R$ 239,90";"http://buscas.casasbahia.com.br/search?p=R&srid=S1-3IADP&lbc=casasbahia&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.casasbahia.com.br%2f2182685%3f&rk=2&uid=270365844&sid=2&ts=custom&rsc=3YRG2OAETZje9ffa&method=and&isort=score&view=grid"
"Casas Bahia";"Animal Crossing New Leaf";"Animal Crossing: New Leaf - 3DS";"188,00";"R$ 188,00";"http://buscas.casasbahia.com.br/search?p=R&srid=S1-3IADP&lbc=casasbahia&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.casasbahia.com.br%2f6157131%3f&rk=3&uid=270365844&sid=2&ts=custom&rsc=bCAAK6u%3amvaxPbvw&method=and&isort=score&view=grid"
"Casas Bahia";"Animal Crossing New Leaf";"Animal Crossing: New Leaf - 3DS";"228,79";"R$ 228,79";"http://buscas.casasbahia.com.br/search?p=R&srid=S1-3IADP&lbc=casasbahia&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.casasbahia.com.br%2f5806149%3f&rk=4&uid=270365844&sid=2&ts=custom&rsc=5p3eH1Nye1vPp8D5&method=and&isort=score&view=grid"
"Extra";"Animal Crossing New Leaf";"Jogo Animal Crossing: New Leaf - 3DS";"239,90";"R$ 239,90";"http://buscando.extra.com.br/search?p=R&srid=S1-3IADP&lbc=extra&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.extra.com.br%2f2182685%3f&rk=1&uid=270408242&sid=2&ts=custom&rsc=jIX39I79hsIt5E1v&method=and&isort=score&view=grid"
"Extra";"Animal Crossing New Leaf";"3DS - Animal Crossing: New Leaf";"179,90";"R$ 179,90";"http://buscando.extra.com.br/search?p=R&srid=S1-3IADP&lbc=extra&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.extra.com.br%2f6524777%3f&rk=2&uid=270408242&sid=2&ts=custom&rsc=jYqiHH89QS5oj5wc&method=and&isort=score&view=grid"
"Extra";"Animal Crossing New Leaf";"Animal Crossing: New Leaf - 3DS";"188,00";"R$ 188,00";"http://buscando.extra.com.br/search?p=R&srid=S1-3IADP&lbc=extra&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.extra.com.br%2f6157131%3f&rk=3&uid=270408242&sid=2&ts=custom&rsc=dq7Gh270%3a%3ailcD-r&method=and&isort=score&view=grid"
"Extra";"Animal Crossing New Leaf";"Animal Crossing: New Leaf - 3DS";"228,79";"R$ 228,79";"http://buscando.extra.com.br/search?p=R&srid=S1-3IADP&lbc=extra&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.extra.com.br%2f5806149%3f&rk=4&uid=270408242&sid=2&ts=custom&rsc=l1HWH-xim2X-Fpxf&method=and&isort=score&view=grid"
"E-Virtua";"Animal Crossing New Leaf";"-";"-";"R$ 9.999,99";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"Animal Crossing New Leaf";"Animal Crossing: New Leaf - 3DS";"R$ 199,41";"R$ 199,41";"http://www.fastgames.com.br/animal-crossing-new-leaf-3ds-pr-6846-187970.htm"
"FNAC";"Animal Crossing New Leaf";"-";"-";"R$ 9.999,99";"http://busca.fnac.com.br/?busca=<BUSCA>"
