"Loja";"Name Searched";"Name Found";"Price";"Price Float";"URL"
"Nintendo eShop";"Samsung galaxy S7";"-";"-";"R$ 9.999,99";"http://www.nintendo.com/json/content/get/game/filter?&qterm=<BUSCA>"
"PlayStation Store";"Samsung galaxy S7";"-";"-";"R$ 9.999,99";"https://store.playstation.com/#!/pt-br/pesquisar/q=<BUSCA>"
"Americanas";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Android 6.0 Tela 5.1" 32GB 4G Câmera 12MP - Dourado";"R$ 2.199,00";"R$ 2.199,00";"http://www.americanas.com.br/produto/125911887"
"Americanas";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Edge Android 6.0 Tela 5.5" 32GB 4G Câmera 12MP - Dourado";"R$ 2.599,00";"R$ 2.599,00";"http://www.americanas.com.br/produto/125911828"
"Americanas";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Edge Android 6.0 Tela 5.5" 32GB 4G Câmera 12MP - Preto";"R$ 2.599,00";"R$ 2.599,00";"http://www.americanas.com.br/produto/125911537"
"Americanas";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Edge Android 6.0 Tela 5.5" 32GB 4G Câmera 12MP - Prata";"R$ 2.599,00";"R$ 2.599,00";"http://www.americanas.com.br/produto/125911511"
"Americanas";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Edge Android 6.0 Tela 5.5" 32GB Wi-Fi 4G Câmera 12MP - Rosé";"R$ 2.599,00";"R$ 2.599,00";"http://www.americanas.com.br/produto/127789547"
"Americanas";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Android 6.0 Tela 5.1" 32GB 4G Câmera 12MP - Prata";"R$ 2.998,00";"R$ 2.998,00";"http://www.americanas.com.br/produto/125916696"
"Americanas";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Edge Android 6.0 Tela 5.5" 32GB 4G Câmera 12MP - Azul";"R$ 2.599,99";"R$ 2.599,99";"http://www.americanas.com.br/produto/129900018?oferta=3132393930303032362e30303737363537343030303636302e4e4557"
"Americanas";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Android 6.0 Tela 5.1" 32GB Wi-Fi 4G Câmera 12MP - Rosé";"R$ 2.199,00";"R$ 2.199,00";"http://www.americanas.com.br/produto/127795015?oferta=3132373739353032332e30303737363537343030303636302e4e4557"
"Americanas";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Android 6.0 Tela 5.1" 32GB 4G Câmera 12MP - Preto";"R$ 2.748,99";"R$ 2.748,99";"http://www.americanas.com.br/produto/125916485"
"Americanas";"Samsung galaxy S7";"Celular Samsung Galaxy S7 Sm -G930f Dourado";"R$ 3.799,00";"R$ 3.799,00";"http://www.americanas.com.br/produto/14865429?oferta=31343836353432372e31343534383437363030303137362e4e4557"
"Americanas";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Edge 32gb Desbloqueado Dourado";"R$ 2.969,99";"R$ 2.969,99";"http://www.americanas.com.br/produto/19407980?oferta=31393430373938322e32343733323236303030303131302e4e4557"
"Americanas";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Edge 32GB Desbloqueado Preto + Smartphone Samsung Galaxy Novo A5 - Rosé";"R$ 5.199,99";"R$ 5.199,99";"http://www.americanas.com.br/produto/127527483?oferta=3132373532373438332e30303737363537343030303636302e4e4557"
"Balão da Informática";"Samsung galaxy S7";"-";"-";"R$ 9.999,99";"http://www.balaodainformatica.com.br/digimon?&utmi_p=_Produtos_Buscar_&utmi_pc=BuscaFullText&utmi_cp=<BUSCA>"
"Casas Bahia";"Samsung galaxy S7";"Samsung Galaxy S7 Edge Android 6.0 Tela 5,5" 32GB 4G Preto - Samsung";"2.999,90";"R$ 2.999,90";"http://produto.casasbahia.com.br/?IdProduto=6619093&recsource=btermo&rectype=p1_op_s1"
"Casas Bahia";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 edge Preto com 32GB, Tela 5.5", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.559,20";"R$ 2.559,20";"http://produto.casasbahia.com.br/?IdProduto=4135718&recsource=btermo&rectype=p1_op_s2"
"Casas Bahia";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Dourado com 32GB, Tela 5.1", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.239,20";"R$ 2.239,20";"http://produto.casasbahia.com.br/?IdProduto=4135713&recsource=btermo&rectype=p1_op_s3"
"Casas Bahia";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 edge Dourado com 32GB, Tela 5.5", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.559,20";"R$ 2.559,20";"http://produto.casasbahia.com.br/?IdProduto=4135716&recsource=btermo&rectype=p1_op_s4"
"Casas Bahia";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Prata com 32GB, Tela 5.1", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.239,20";"R$ 2.239,20";"http://produto.casasbahia.com.br/?IdProduto=4135714&recsource=btermo&rectype=p1_op_s5"
"Casas Bahia";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Preto com 32GB, Tela 5.1", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.239,20";"R$ 2.239,20";"http://produto.casasbahia.com.br/?IdProduto=4135715&recsource=btermo&rectype=p1_op_s6"
"Casas Bahia";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 edge Prata com 32GB, Tela 5.5", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.559,20";"R$ 2.559,20";"http://produto.casasbahia.com.br/?IdProduto=4135717&recsource=btermo&rectype=p1_op_s7"
"Casas Bahia";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 edge Azul com 32GB, Tela 5.5", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.559,20";"R$ 2.559,20";"http://produto.casasbahia.com.br/?IdProduto=7365835&recsource=btermo&rectype=p1_op_s8"
"Casas Bahia";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 edge Rose com 32GB, Tela 5.5", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.559,20";"R$ 2.559,20";"http://produto.casasbahia.com.br/?IdProduto=5483807&recsource=btermo&rectype=p1_op_s9"
"Casas Bahia";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Rosé com 32GB, Tela 5.1", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.239,20";"R$ 2.239,20";"http://produto.casasbahia.com.br/?IdProduto=5483806&recsource=btermo&rectype=p1_op_s10"
"Casas Bahia";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 edge Black Piano com 128GB, Tela 5.5", Android 6.0, 4G, Câmera 12MP, Processador Octa-Core e 4GB RAM";"3.509,10";"R$ 3.509,10";"http://produto.casasbahia.com.br/?IdProduto=7526754&recsource=btermo&rectype=p1_op_s11"
"Extra";"Samsung galaxy S7";"Samsung Galaxy S7 Edge Android 6.0 Tela 5,5" 32GB 4G Preto - Samsung";"2.999,90";"R$ 2.999,90";"http://produto.extra.com.br/?IdProduto=6619093&recsource=btermo&rectype=p1_op_s1"
"Extra";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Preto com 32GB, Tela 5.1", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.239,20";"R$ 2.239,20";"http://produto.extra.com.br/?IdProduto=4135715&recsource=btermo&rectype=p1_op_s2"
"Extra";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 edge Preto com 32GB, Tela 5.5", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.559,20";"R$ 2.559,20";"http://produto.extra.com.br/?IdProduto=4135718&recsource=btermo&rectype=p1_op_s3"
"Extra";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Dourado com 32GB, Tela 5.1", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.239,20";"R$ 2.239,20";"http://produto.extra.com.br/?IdProduto=4135713&recsource=btermo&rectype=p1_op_s4"
"Extra";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 edge Dourado com 32GB, Tela 5.5", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.559,20";"R$ 2.559,20";"http://produto.extra.com.br/?IdProduto=4135716&recsource=btermo&rectype=p1_op_s5"
"Extra";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 edge Azul com 32GB, Tela 5.5", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.559,20";"R$ 2.559,20";"http://produto.extra.com.br/?IdProduto=7365835&recsource=btermo&rectype=p1_op_s6"
"Extra";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 edge Prata com 32GB, Tela 5.5", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.559,20";"R$ 2.559,20";"http://produto.extra.com.br/?IdProduto=4135717&recsource=btermo&rectype=p1_op_s7"
"Extra";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 edge Rose com 32GB, Tela 5.5", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.559,20";"R$ 2.559,20";"http://produto.extra.com.br/?IdProduto=5483807&recsource=btermo&rectype=p1_op_s8"
"Extra";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Prata com 32GB, Tela 5.1", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.239,20";"R$ 2.239,20";"http://produto.extra.com.br/?IdProduto=4135714&recsource=btermo&rectype=p1_op_s9"
"Extra";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 Rosé com 32GB, Tela 5.1", Android 6.0, 4G, Câmera 12MP e Processador Octa-Core";"2.239,20";"R$ 2.239,20";"http://produto.extra.com.br/?IdProduto=5483806&recsource=btermo&rectype=p1_op_s10"
"Extra";"Samsung galaxy S7";"Smartphone Samsung Galaxy S7 edge Black Piano com 128GB, Tela 5.5", Android 6.0, 4G, Câmera 12MP, Processador Octa-Core e 4GB RAM";"3.509,10";"R$ 3.509,10";"http://produto.extra.com.br/?IdProduto=7526754&recsource=btermo&rectype=p1_op_s11"
